"seq","sec","x","y"
8077,40.385,-7.03108549118042,-2.021742582321167
8078,40.39,-7.03108549118042,-2.021742582321167
8079,40.395,-7.03108549118042,-2.021742582321167
8080,40.4,-7.03108549118042,-2.021742582321167
8081,40.405,-7.03108549118042,-2.021742582321167
8082,40.41,-7.03108549118042,-2.021742582321167
8083,40.415,-7.03108549118042,-2.021742582321167
8084,40.42,-7.03108549118042,-2.021742582321167
8085,40.425,-7.03108549118042,-2.021742582321167
8086,40.43,-7.03108549118042,-2.021742582321167
8087,40.435,-7.03108549118042,-2.021742582321167
8088,40.44,-7.03108549118042,-2.021742582321167
8089,40.445,-7.03108549118042,-2.021742582321167
8090,40.45,-7.03108549118042,-2.021742582321167
8091,40.455,-7.03108549118042,-2.021742582321167
8092,40.46,-7.03108549118042,-2.021742582321167
8093,40.465,-7.03108549118042,-2.021742582321167
8094,40.47,-7.03108549118042,-2.021742582321167
8095,40.475,-7.03108549118042,-2.021742582321167
8096,40.48,-7.03108549118042,-2.021742582321167
8097,40.485,-7.03108549118042,-2.021742582321167
8098,40.49,-7.03108549118042,-2.021742582321167
8099,40.495,-7.03108549118042,-2.021742582321167
8100,40.5,-7.03108549118042,-2.021742582321167
8101,40.505,-7.03108549118042,-2.021742582321167
8102,40.51,-7.03108549118042,-2.021742582321167
8103,40.515,-7.03108549118042,-2.021742582321167
8104,40.52,-7.03108549118042,-2.021742582321167
8105,40.525,-7.03108549118042,-2.021742582321167
8106,40.53,-7.03108549118042,-2.021742582321167
8107,40.535,-7.03108549118042,-2.021742582321167
8108,40.54,-7.03108549118042,-2.021742582321167
8109,40.545,-7.03108549118042,-2.021742582321167
8110,40.55,-7.03108549118042,-2.021742582321167
8111,40.555,-7.03108549118042,-2.021742582321167
8112,40.56,-7.03108549118042,-2.021742582321167
8113,40.565,-7.03108549118042,-2.021742582321167
8114,40.57,-7.03108549118042,-2.021742582321167
8115,40.575,-7.03108549118042,-2.021742582321167
8116,40.58,-7.03108549118042,-2.021742582321167
8117,40.585,-7.03108549118042,-2.021742582321167
8118,40.59,-7.03108549118042,-2.021742582321167
8119,40.595,-7.03108549118042,-2.021742582321167
8120,40.6,-7.03108549118042,-2.021742582321167
8121,40.605,-7.03108549118042,-2.021742582321167
8122,40.61,-7.03108549118042,-2.021742582321167
8123,40.615,-7.03108549118042,-2.021742582321167
8124,40.62,-7.03108549118042,-2.021742582321167
8125,40.625,-7.03108549118042,-2.021742582321167
8126,40.63,-7.03108549118042,-2.021742582321167
8127,40.635,-7.03108549118042,-2.021742582321167
8128,40.64,-7.03108549118042,-2.021742582321167
8129,40.645,-7.03108549118042,-2.021742582321167
8130,40.65,-7.03108549118042,-2.021742582321167
8131,40.655,-7.03108549118042,-2.021742582321167
8132,40.66,-7.03108549118042,-2.021742582321167
8133,40.665,-7.03108549118042,-2.021742582321167
8134,40.67,-7.03108549118042,-2.021742582321167
8135,40.675,-7.03108549118042,-2.021742582321167
8136,40.68,-7.03108549118042,-2.021742582321167
8137,40.685,-7.03108549118042,-2.021742582321167
8138,40.69,-7.03108549118042,-2.021742582321167
8139,40.695,-7.03108549118042,-2.021742582321167
8140,40.7,-7.031062126159668,-2.018772602081299
8141,40.705,-7.031034469604492,-2.015671491622925
8142,40.71,-7.030998229980469,-2.0125691890716553
8143,40.715,-7.0309529304504395,-2.009467124938965
8144,40.72,-7.0308966636657715,-2.006267547607422
8145,40.725,-7.030834197998047,-2.0030670166015625
8146,40.73,-7.030763626098633,-1.9997684955596924
8147,40.735,-7.030688285827637,-1.9963704347610474
8148,40.74,-7.030612945556641,-1.9929713010787964
8149,40.745,-7.030535697937012,-1.9894720315933228
8150,40.75,-7.03045129776001,-1.9859719276428223
8151,40.755,-7.03035831451416,-1.982373833656311
8152,40.76,-7.030261516571045,-1.978774905204773
8153,40.765,-7.030158519744873,-1.9750747680664062
8154,40.77,-7.0300445556640625,-1.9713739156723022
8155,40.775,-7.029919147491455,-1.9676733016967773
8156,40.78,-7.029779434204102,-1.9638757705688477
8157,40.785,-7.029632091522217,-1.9600775241851807
8158,40.79,-7.029473304748535,-1.956181287765503
8159,40.795,-7.029305458068848,-1.9521857500076294
8160,40.8,-7.029136657714844,-1.9481892585754395
8161,40.805,-7.028962135314941,-1.9440925121307373
8162,40.81,-7.028777599334717,-1.9399949312210083
8163,40.815,-7.028579235076904,-1.9357995986938477
8164,40.82,-7.0283732414245605,-1.9316037893295288
8165,40.825,-7.0281548500061035,-1.9273097515106201
8166,40.83,-7.02793025970459,-1.9230151176452637
8167,40.835,-7.027699947357178,-1.9187207221984863
8168,40.84,-7.027457237243652,-1.9143248796463013
8169,40.845,-7.027194499969482,-1.9098315238952637
8170,40.85,-7.026919364929199,-1.9053380489349365
8171,40.855,-7.026627063751221,-1.900747537612915
8172,40.86,-7.026327133178711,-1.8961565494537354
8173,40.865,-7.0260138511657715,-1.8914674520492554
8174,40.87,-7.025693893432617,-1.8867778778076172
8175,40.875,-7.025361061096191,-1.88198983669281
8176,40.88,-7.025022029876709,-1.8772014379501343
8177,40.885,-7.024670124053955,-1.8723151683807373
8178,40.89,-7.024316310882568,-1.8674278259277344
8179,40.895,-7.023961544036865,-1.8625407218933105
8180,40.9,-7.023597240447998,-1.857553482055664
8181,40.905,-7.023214340209961,-1.8524633646011353
8182,40.91,-7.0228095054626465,-1.8473739624023438
8183,40.915,-7.022375106811523,-1.8421900272369385
8184,40.92,-7.021923542022705,-1.8370063304901123
8185,40.925,-7.021446228027344,-1.8317275047302246
8186,40.93,-7.020956516265869,-1.826448678970337
8187,40.935,-7.020445823669434,-1.8210734128952026
8188,40.94,-7.019927501678467,-1.8156979084014893
8189,40.945,-7.019392967224121,-1.8102248907089233
8190,40.95,-7.018857002258301,-1.8047511577606201
8191,40.955,-7.018309593200684,-1.7991788387298584
8192,40.96,-7.017765998840332,-1.793605089187622
8193,40.965,-7.017226219177246,-1.7880311012268066
8194,40.97,-7.01668119430542,-1.7823576927185059
8195,40.975,-7.01611852645874,-1.7765828371047974
8196,40.98,-7.015537261962891,-1.7708088159561157
8197,40.985,-7.014926910400391,-1.7649400234222412
8198,40.99,-7.014302730560303,-1.7590715885162354
8199,40.995,-7.013655185699463,-1.7531071901321411
8200,41.0,-7.012999534606934,-1.7471426725387573
8201,41.005,-7.012324810028076,-1.7410778999328613
8202,41.01,-7.011630535125732,-1.7350143194198608
8203,41.015,-7.010904312133789,-1.7288563251495361
8204,41.02,-7.010164260864258,-1.7226991653442383
8205,41.025,-7.009410381317139,-1.7165435552597046
8206,41.03,-7.008630275726318,-1.7102925777435303
8207,41.035,-7.007829189300537,-1.7039408683776855
8208,41.04,-7.007007122039795,-1.6975905895233154
8209,41.045,-7.00615119934082,-1.6911466121673584
8210,41.05,-7.0052809715271,-1.6847035884857178
8211,41.055,-7.004395484924316,-1.678262710571289
8212,41.06,-7.003482341766357,-1.6717267036437988
8213,41.065,-7.002546310424805,-1.6650934219360352
8214,41.07,-7.001608371734619,-1.6584593057632446
8215,41.075,-7.000654220581055,-1.6517260074615479
8216,41.08,-6.999684810638428,-1.6449940204620361
8217,41.085,-6.998685359954834,-1.6381667852401733
8218,41.09,-6.997674942016602,-1.6313403844833374
8219,41.095,-6.996652603149414,-1.6245157718658447
8220,41.1,-6.995604038238525,-1.6175954341888428
8221,41.105,-6.994550704956055,-1.6106750965118408
8222,41.11,-6.993477821350098,-1.603657603263855
8223,41.115,-6.992392063140869,-1.5965408086776733
8224,41.12,-6.991310119628906,-1.5894224643707275
8225,41.125,-6.9902167320251465,-1.5822052955627441
8226,41.13,-6.9891133308410645,-1.5749884843826294
8227,41.135,-6.987984657287598,-1.567676067352295
8228,41.14,-6.986852645874023,-1.5603630542755127
8229,41.145,-6.9857025146484375,-1.552952766418457
8230,41.15,-6.984556198120117,-1.5455408096313477
8231,41.155,-6.9833984375,-1.538029670715332
8232,41.16,-6.982253074645996,-1.5305157899856567
8233,41.165,-6.981118679046631,-1.5230001211166382
8234,41.17,-6.979981899261475,-1.5153836011886597
8235,41.175,-6.9788498878479,-1.507667064666748
8236,41.18,-6.977722644805908,-1.4999488592147827
8237,41.185,-6.976585388183594,-1.4921314716339111
8238,41.19,-6.975460052490234,-1.4843112230300903
8239,41.195,-6.97434663772583,-1.4764893054962158
8240,41.2,-6.973232269287109,-1.468568205833435
8241,41.205,-6.972100734710693,-1.4605486392974854
8242,41.21,-6.970973491668701,-1.4525272846221924
8243,41.215,-6.969836711883545,-1.4444069862365723
8244,41.22,-6.968709945678711,-1.4362843036651611
8245,41.225,-6.967580318450928,-1.4280624389648438
8246,41.23,-6.96644401550293,-1.4198404550552368
8247,41.235,-6.965288162231445,-1.411521315574646
8248,41.24,-6.964130878448486,-1.4032014608383179
8249,41.245,-6.962958335876465,-1.394782304763794
8250,41.25,-6.96176815032959,-1.3863646984100342
8251,41.255,-6.960546493530273,-1.3778526782989502
8252,41.26,-6.959314346313477,-1.3693408966064453
8253,41.265,-6.958072662353516,-1.3608307838439941
8254,41.27,-6.956806182861328,-1.3522213697433472
8255,41.275,-6.955498695373535,-1.3435187339782715
8256,41.28,-6.954172611236572,-1.334817886352539
8257,41.285,-6.952812671661377,-1.326022982597351
8258,41.29,-6.951442718505859,-1.3172287940979004
8259,41.295,-6.9500627517700195,-1.3084359169006348
8260,41.3,-6.948657035827637,-1.2995474338531494
8261,41.305,-6.947234630584717,-1.290560007095337
8262,41.31,-6.945819854736328,-1.2815704345703125
8263,41.315,-6.944412708282471,-1.2725796699523926
8264,41.32,-6.942997932434082,-1.2634891271591187
8265,41.325,-6.941585540771484,-1.2542980909347534
8266,41.33,-6.940171241760254,-1.2451062202453613
8267,41.335,-6.9387407302856445,-1.235816478729248
8268,41.34,-6.937318801879883,-1.2265245914459229
8269,41.345,-6.93588924407959,-1.2171334028244019
8270,41.35,-6.9344682693481445,-1.207740068435669
8271,41.355,-6.933041572570801,-1.1982465982437134
8272,41.36,-6.9316325187683105,-1.1887493133544922
8273,41.365,-6.930227279663086,-1.1791502237319946
8274,41.37,-6.928850173950195,-1.1695458889007568
8275,41.375,-6.927487850189209,-1.159841775894165
8276,41.38,-6.92613410949707,-1.1501355171203613
8277,41.385,-6.924776077270508,-1.1403288841247559
8278,41.39,-6.923436641693115,-1.130518913269043
8279,41.395,-6.922102451324463,-1.1206066608428955
8280,41.4,-6.920797348022461,-1.110689640045166
8281,41.405,-6.919508457183838,-1.1006686687469482
8282,41.41,-6.9182586669921875,-1.090641736984253
8283,41.415,-6.917036533355713,-1.080509901046753
8284,41.42,-6.915861129760742,-1.0703716278076172
8285,41.425,-6.914731979370117,-1.0602279901504517
8286,41.43,-6.913640022277832,-1.0499849319458008
8287,41.435,-6.912564277648926,-1.0396379232406616
8288,41.44,-6.911526203155518,-1.0292859077453613
8289,41.445,-6.910516738891602,-1.0188349485397339
8290,41.45,-6.909523963928223,-1.0083811283111572
8291,41.455,-6.908539295196533,-0.9978259801864624
8292,41.46,-6.907581329345703,-0.9872673153877258
8293,41.465,-6.906642913818359,-0.9766057729721069
8294,41.47,-6.905742168426514,-0.9659397602081299
8295,41.475,-6.904872894287109,-0.9551751017570496
8296,41.48,-6.9040207862854,-0.9444079399108887
8297,41.485,-6.903179168701172,-0.9335414171218872
8298,41.49,-6.9023332595825195,-0.922674298286438
8299,41.495,-6.901483535766602,-0.9118074178695679
8300,41.5,-6.9006218910217285,-0.9008421301841736
8301,41.505,-6.899759292602539,-0.8897761106491089
8302,41.51,-6.898881435394287,-0.8787103295326233
8303,41.515,-6.897988319396973,-0.8676457405090332
8304,41.52,-6.897080421447754,-0.8565824031829834
8305,41.525,-6.896148204803467,-0.8454222083091736
8306,41.53,-6.895212173461914,-0.8342612981796265
8307,41.535,-6.894255638122559,-0.8229027986526489
8308,41.54,-6.893316745758057,-0.8115407824516296
8309,41.545,-6.892388343811035,-0.800079345703125
8310,41.55,-6.891455173492432,-0.7886171340942383
8311,41.555,-6.8905181884765625,-0.777155339717865
8312,41.56,-6.889589309692383,-0.7658417820930481
8313,41.565,-6.8886590003967285,-0.7544298768043518
8314,41.57,-6.887746810913086,-0.7430154085159302
8315,41.575,-6.88684606552124,-0.7314996123313904
8316,41.58,-6.885974884033203,-0.7199804782867432
8317,41.585,-6.8851447105407715,-0.7086054086685181
8318,41.59,-6.884355545043945,-0.6972288489341736
8319,41.595,-6.883617877960205,-0.6860008239746094
8320,41.6,-6.882898330688477,-0.6747730374336243
8321,41.605,-6.882197380065918,-0.6635441184043884
8322,41.61,-6.881514549255371,-0.6523140668869019
8323,41.615,-6.880850315093994,-0.6410829424858093
8324,41.62,-6.880220890045166,-0.6301463842391968
8325,41.625,-6.879566192626953,-0.6192142963409424
8326,41.63,-6.878881454467773,-0.6082154512405396
8327,41.635,-6.878146648406982,-0.5971904397010803
8328,41.64,-6.8773417472839355,-0.5861700773239136
8329,41.645,-6.876458168029785,-0.5750477313995361
