"seq","sec","x","y"
24683,123.415,-6.994737148284912,-1.9896235466003418
24684,123.42,-6.994737148284912,-1.9896235466003418
24685,123.425,-6.994737148284912,-1.9896235466003418
24686,123.43,-6.994737148284912,-1.9896235466003418
24687,123.435,-6.994737148284912,-1.9896235466003418
24688,123.44,-6.994737148284912,-1.9896235466003418
24689,123.445,-6.994737148284912,-1.9896235466003418
24690,123.45,-6.994737148284912,-1.9896235466003418
24691,123.455,-6.994737148284912,-1.9896235466003418
24692,123.46,-6.994737148284912,-1.9896235466003418
24693,123.465,-6.994737148284912,-1.9896235466003418
24694,123.47,-6.994737148284912,-1.9896235466003418
24695,123.475,-6.994737148284912,-1.9896235466003418
24696,123.48,-6.994737148284912,-1.9896235466003418
24697,123.485,-6.994737148284912,-1.9896235466003418
24698,123.49,-6.994737148284912,-1.9896235466003418
24699,123.495,-6.994737148284912,-1.9896235466003418
24700,123.5,-6.994737148284912,-1.9896235466003418
24701,123.505,-6.994737148284912,-1.9896235466003418
24702,123.51,-6.994737148284912,-1.9896235466003418
24703,123.515,-6.994737148284912,-1.9896235466003418
24704,123.52,-6.994737148284912,-1.9896235466003418
24705,123.525,-6.994737148284912,-1.9896235466003418
24706,123.53,-6.994737148284912,-1.9896235466003418
24707,123.535,-6.994737148284912,-1.9896235466003418
24708,123.54,-6.994737148284912,-1.9896235466003418
24709,123.545,-6.994737148284912,-1.9896235466003418
24710,123.55,-6.994737148284912,-1.9896235466003418
24711,123.555,-6.994737148284912,-1.9896235466003418
24712,123.56,-6.994737148284912,-1.9896235466003418
24713,123.565,-6.994737148284912,-1.9896235466003418
24714,123.57,-6.994737148284912,-1.9896235466003418
24715,123.575,-6.994737148284912,-1.9896235466003418
24716,123.58,-6.994737148284912,-1.9896235466003418
24717,123.585,-6.994737148284912,-1.9896235466003418
24718,123.59,-6.994737148284912,-1.9896235466003418
24719,123.595,-6.994737148284912,-1.9896235466003418
24720,123.6,-6.994737148284912,-1.9896235466003418
24721,123.605,-6.994737148284912,-1.9896235466003418
24722,123.61,-6.994737148284912,-1.9896235466003418
24723,123.615,-6.994700908660889,-1.9881386756896973
24724,123.62,-6.994663238525391,-1.9866390228271484
24725,123.625,-6.99462366104126,-1.9851391315460205
24726,123.63,-6.994582653045654,-1.9836394786834717
24727,123.635,-6.994540691375732,-1.9821397066116333
24728,123.64,-6.994496822357178,-1.980640172958374
24729,123.645,-6.994451522827148,-1.9791405200958252
24730,123.65,-6.994405269622803,-1.9776408672332764
24731,123.655,-6.994356632232666,-1.9761414527893066
24732,123.66,-6.994306564331055,-1.974642038345337
24733,123.665,-6.994255065917969,-1.9731425046920776
24734,123.67,-6.994202136993408,-1.9716432094573975
24735,123.675,-6.994147777557373,-1.9701437950134277
24736,123.68,-6.994091987609863,-1.968644618988037
24737,123.685,-6.994034767150879,-1.9671454429626465
24738,123.69,-6.99397611618042,-1.9656462669372559
24739,123.695,-6.993916034698486,-1.9641472101211548
24740,123.7,-6.993854522705078,-1.9626481533050537
24741,123.705,-6.993791580200195,-1.9611492156982422
24742,123.71,-6.99372673034668,-1.9596502780914307
24743,123.715,-6.993628025054932,-1.9574098587036133
24744,123.72,-6.993528366088867,-1.9551621675491333
