"seq","sec","x","y"
20609,103.045,-7.010712146759033,-1.963889479637146
20610,103.05,-7.010712146759033,-1.963889479637146
20611,103.055,-7.010712146759033,-1.963889479637146
20612,103.06,-7.010712146759033,-1.963889479637146
20613,103.065,-7.010712146759033,-1.963889479637146
20614,103.07,-7.010712146759033,-1.963889479637146
20615,103.075,-7.010712146759033,-1.963889479637146
20616,103.08,-7.010712146759033,-1.963889479637146
20617,103.085,-7.010712146759033,-1.963889479637146
20618,103.09,-7.010712146759033,-1.963889479637146
20619,103.095,-7.010712146759033,-1.963889479637146
20620,103.1,-7.010712146759033,-1.963889479637146
20621,103.105,-7.010712146759033,-1.963889479637146
20622,103.11,-7.010712146759033,-1.963889479637146
20623,103.115,-7.010712146759033,-1.963889479637146
20624,103.12,-7.010712146759033,-1.963889479637146
20625,103.125,-7.010712146759033,-1.963889479637146
20626,103.13,-7.010712146759033,-1.963889479637146
20627,103.135,-7.010712146759033,-1.963889479637146
20628,103.14,-7.010712146759033,-1.963889479637146
20629,103.145,-7.010712146759033,-1.963889479637146
20630,103.15,-7.010712146759033,-1.963889479637146
20631,103.155,-7.010712146759033,-1.963889479637146
20632,103.16,-7.010712146759033,-1.963889479637146
20633,103.165,-7.010712146759033,-1.963889479637146
20634,103.17,-7.010712146759033,-1.963889479637146
20635,103.175,-7.010712146759033,-1.963889479637146
20636,103.18,-7.010712146759033,-1.963889479637146
20637,103.185,-7.01069974899292,-1.9542434215545654
20638,103.19,-7.010581016540527,-1.9445018768310547
20639,103.195,-7.010390281677246,-1.9362742900848389
20640,103.2,-7.010158061981201,-1.9280626773834229
20641,103.205,-7.009849548339844,-1.9188041687011719
20642,103.21,-7.009402751922607,-1.9095416069030762
20643,103.215,-7.008759021759033,-1.8993566036224365
20644,103.22,-7.008060932159424,-1.8891654014587402
20645,103.225,-7.007237911224365,-1.8779958486557007
20646,103.23,-7.006383419036865,-1.866818904876709
20647,103.235,-7.005455493927002,-1.8551009893417358
20648,103.24,-7.0045671463012695,-1.8433746099472046
20649,103.245,-7.0037007331848145,-1.8313920497894287
20650,103.25,-7.002758026123047,-1.8194127082824707
20651,103.255,-7.001865386962891,-1.8089314699172974
20652,103.26,-7.000980377197266,-1.7984645366668701
20653,103.265,-7.0000176429748535,-1.7869856357574463
20654,103.27,-6.99894905090332,-1.7755060195922852
20655,103.275,-6.997689247131348,-1.763202428817749
20656,103.28,-6.996435165405273,-1.750889539718628
20657,103.285,-6.995106220245361,-1.737748384475708
20658,103.29,-6.993656158447266,-1.7246122360229492
20659,103.295,-6.992264270782471,-1.712989091873169
20660,103.3,-6.990880966186523,-1.7013798952102661
20661,103.305,-6.989388942718506,-1.688777208328247
20662,103.31,-6.987967491149902,-1.6761562824249268
20663,103.315,-6.986515045166016,-1.6625473499298096
20664,103.32,-6.985006332397461,-1.6489347219467163
20665,103.325,-6.9836106300354,-1.6368083953857422
20666,103.33,-6.982228755950928,-1.6246955394744873
20667,103.335,-6.980748176574707,-1.6115953922271729
20668,103.34,-6.979306221008301,-1.5984807014465332
20669,103.345,-6.977838516235352,-1.5847535133361816
