"seq","sec","x","y"
13509,67.545,-7.0006513595581055,-1.982942819595337
13510,67.55,-7.0006513595581055,-1.982942819595337
13511,67.555,-7.0006513595581055,-1.982942819595337
13512,67.56,-7.0006513595581055,-1.982942819595337
13513,67.565,-7.0006513595581055,-1.982942819595337
13514,67.57,-7.0006513595581055,-1.982942819595337
13515,67.575,-7.0006513595581055,-1.982942819595337
13516,67.58,-7.0006513595581055,-1.982942819595337
13517,67.585,-7.0006513595581055,-1.982942819595337
13518,67.59,-7.0006513595581055,-1.982942819595337
13519,67.595,-7.0006513595581055,-1.982942819595337
13520,67.6,-7.0006513595581055,-1.982942819595337
13521,67.605,-7.0006513595581055,-1.982942819595337
13522,67.61,-7.0006513595581055,-1.982942819595337
13523,67.615,-7.0006513595581055,-1.982942819595337
13524,67.62,-7.0006513595581055,-1.982942819595337
13525,67.625,-7.0006513595581055,-1.982942819595337
13526,67.63,-7.0006513595581055,-1.982942819595337
13527,67.635,-7.0006513595581055,-1.982942819595337
13528,67.64,-7.0006513595581055,-1.982942819595337
13529,67.645,-7.0006513595581055,-1.982942819595337
13530,67.65,-7.0006513595581055,-1.982942819595337
13531,67.655,-7.0006513595581055,-1.982942819595337
13532,67.66,-7.0006513595581055,-1.982942819595337
13533,67.665,-7.0006513595581055,-1.982942819595337
13534,67.67,-7.0006513595581055,-1.982942819595337
13535,67.675,-7.0006513595581055,-1.982942819595337
13536,67.68,-7.0006513595581055,-1.982942819595337
13537,67.685,-7.0006513595581055,-1.982942819595337
13538,67.69,-7.0006513595581055,-1.982942819595337
13539,67.695,-7.0006513595581055,-1.982942819595337
13540,67.7,-7.0006513595581055,-1.982942819595337
13541,67.705,-7.0006513595581055,-1.982942819595337
13542,67.71,-7.0006513595581055,-1.982942819595337
13543,67.715,-7.0006513595581055,-1.982942819595337
13544,67.72,-7.0006513595581055,-1.982942819595337
13545,67.725,-7.0006513595581055,-1.982942819595337
13546,67.73,-7.0006513595581055,-1.982942819595337
13547,67.735,-7.0006513595581055,-1.982942819595337
13548,67.74,-7.0006513595581055,-1.982942819595337
13549,67.745,-7.0006513595581055,-1.982942819595337
13550,67.75,-7.0006513595581055,-1.982942819595337
13551,67.755,-7.0006513595581055,-1.982942819595337
13552,67.76,-7.0006513595581055,-1.982942819595337
13553,67.765,-7.0006513595581055,-1.982942819595337
13554,67.77,-7.0006513595581055,-1.982942819595337
13555,67.775,-7.0006513595581055,-1.982942819595337
13556,67.78,-7.0006513595581055,-1.982942819595337
13557,67.785,-7.0006513595581055,-1.982942819595337
13558,67.79,-7.0006513595581055,-1.982942819595337
13559,67.795,-7.0006513595581055,-1.982942819595337
13560,67.8,-7.0006513595581055,-1.982942819595337
13561,67.805,-7.0006513595581055,-1.982942819595337
13562,67.81,-7.0006513595581055,-1.982942819595337
13563,67.815,-7.0006513595581055,-1.982942819595337
13564,67.82,-7.0006513595581055,-1.982942819595337
13565,67.825,-7.0006513595581055,-1.982942819595337
13566,67.83,-7.0006513595581055,-1.982942819595337
13567,67.835,-7.0006513595581055,-1.982942819595337
13568,67.84,-7.0006513595581055,-1.982942819595337
13569,67.845,-7.0006513595581055,-1.982942819595337
13570,67.85,-7.0006513595581055,-1.982942819595337
13571,67.855,-7.0006513595581055,-1.982942819595337
13572,67.86,-7.0006513595581055,-1.982942819595337
13573,67.865,-7.0006513595581055,-1.982942819595337
13574,67.87,-7.0006513595581055,-1.982942819595337
13575,67.875,-7.0006513595581055,-1.982942819595337
13576,67.88,-7.0006513595581055,-1.982942819595337
13577,67.885,-7.0006513595581055,-1.982942819595337
13578,67.89,-7.0006513595581055,-1.982942819595337
13579,67.895,-7.0006513595581055,-1.982942819595337
13580,67.9,-7.0006513595581055,-1.982942819595337
13581,67.905,-7.0006513595581055,-1.982942819595337
13582,67.91,-7.0006513595581055,-1.982942819595337
13583,67.915,-7.000669956207275,-1.985912799835205
13584,67.92,-7.000688552856445,-1.9889123439788818
13585,67.925,-7.000707149505615,-1.9919123649597168
13586,67.93,-7.000725746154785,-1.9949123859405518
13587,67.935,-7.000744342803955,-1.9979124069213867
13588,67.94,-7.000762939453125,-2.0009124279022217
13589,67.945,-7.000781536102295,-2.0039124488830566
