"seq","sec","x","y"
8550,42.75,-7.000178337097168,-2.0080723762512207
8551,42.755,-7.000178337097168,-2.0080723762512207
8552,42.76,-7.000178337097168,-2.0080723762512207
8553,42.765,-7.000178337097168,-2.0080723762512207
8554,42.77,-7.000178337097168,-2.0080723762512207
8555,42.775,-7.000178337097168,-2.0080723762512207
8556,42.78,-7.000178337097168,-2.0080723762512207
8557,42.785,-7.000178337097168,-2.0080723762512207
8558,42.79,-7.000178337097168,-2.0080723762512207
8559,42.795,-7.000178337097168,-2.0080723762512207
8560,42.8,-7.000178337097168,-2.0080723762512207
8561,42.805,-7.000178337097168,-2.0080723762512207
8562,42.81,-7.000178337097168,-2.0080723762512207
8563,42.815,-7.000178337097168,-2.0080723762512207
8564,42.82,-7.000178337097168,-2.0080723762512207
8565,42.825,-7.000178337097168,-2.0080723762512207
8566,42.83,-7.000178337097168,-2.0080723762512207
8567,42.835,-7.000178337097168,-2.0080723762512207
8568,42.84,-7.000178337097168,-2.0080723762512207
8569,42.845,-7.000178337097168,-2.0080723762512207
8570,42.85,-7.000178337097168,-2.0080723762512207
8571,42.855,-7.000178337097168,-2.0080723762512207
8572,42.86,-7.000178337097168,-2.0080723762512207
8573,42.865,-7.000178337097168,-2.0080723762512207
8574,42.87,-7.000178337097168,-2.0080723762512207
8575,42.875,-7.000178337097168,-2.0080723762512207
8576,42.88,-7.000178337097168,-2.0080723762512207
8577,42.885,-7.000178337097168,-2.0080723762512207
8578,42.89,-7.000178337097168,-2.0080723762512207
8579,42.895,-7.000178337097168,-2.0080723762512207
8580,42.9,-7.000178337097168,-2.0080723762512207
8581,42.905,-7.000178337097168,-2.0080723762512207
8582,42.91,-7.000178337097168,-2.0080723762512207
8583,42.915,-7.000178337097168,-2.0080723762512207
8584,42.92,-7.000178337097168,-2.0080723762512207
8585,42.925,-7.000178337097168,-2.0080723762512207
8586,42.93,-7.000178337097168,-2.0080723762512207
8587,42.935,-7.000178337097168,-2.0080723762512207
8588,42.94,-7.000178337097168,-2.0080723762512207
8589,42.945,-7.000178337097168,-2.0080723762512207
8590,42.95,-7.000178337097168,-2.0080723762512207
8591,42.955,-7.000178337097168,-2.0080723762512207
8592,42.96,-7.000178337097168,-2.0080723762512207
8593,42.965,-7.000178337097168,-2.0080723762512207
8594,42.97,-7.000178337097168,-2.0080723762512207
8595,42.975,-7.000178337097168,-2.0080723762512207
8596,42.98,-7.000178337097168,-2.0080723762512207
8597,42.985,-7.000178337097168,-2.0080723762512207
8598,42.99,-7.000178337097168,-2.0080723762512207
8599,42.995,-7.000178337097168,-2.0080723762512207
8600,43.0,-7.000178337097168,-2.0080723762512207
8601,43.005,-7.000178337097168,-2.0080723762512207
8602,43.01,-7.000178337097168,-2.0080723762512207
8603,43.015,-7.000178337097168,-2.0080723762512207
8604,43.02,-7.000180244445801,-2.0058400630950928
8605,43.025,-7.000173568725586,-2.0035855770111084
8606,43.03,-7.000157833099365,-2.001330852508545
8607,43.035,-7.000133514404297,-1.9990763664245605
8608,43.04,-7.0000996589660645,-1.9968218803405762
8609,43.045,-7.000057220458984,-1.9945675134658813
8610,43.05,-7.00000524520874,-1.9923133850097656
8611,43.055,-6.999944686889648,-1.9900593757629395
8612,43.06,-6.999875068664551,-1.987805724143982
8613,43.065,-6.999795913696289,-1.9855523109436035
8614,43.07,-6.99970817565918,-1.9832992553710938
8615,43.075,-6.9996113777160645,-1.9810466766357422
8616,43.08,-6.999505519866943,-1.9787943363189697
8617,43.085,-6.999390602111816,-1.9765424728393555
8618,43.09,-6.999266624450684,-1.9742913246154785
8619,43.095,-6.999134063720703,-1.9720404148101807
8620,43.1,-6.998992443084717,-1.969789981842041
8621,43.105,-6.998841762542725,-1.9675402641296387
8622,43.11,-6.998682022094727,-1.9652912616729736
8623,43.115,-6.998457908630371,-1.9623069763183594
8624,43.12,-6.998231410980225,-1.959315538406372
8625,43.125,-6.9980034828186035,-1.9563241004943848
8626,43.13,-6.997774124145508,-1.9533329010009766
8627,43.135,-6.997542858123779,-1.9503417015075684
8628,43.14,-6.997310638427734,-1.9473506212234497
8629,43.145,-6.997076034545898,-1.9443597793579102
8630,43.15,-6.996840476989746,-1.941368818283081
8631,43.155,-6.996603012084961,-1.938378095626831
8632,43.16,-6.996364593505859,-1.9353876113891602
8633,43.165,-6.996123790740967,-1.9323971271514893
8634,43.17,-6.995882034301758,-1.9294068813323975
8635,43.175,-6.995638370513916,-1.9264167547225952
8636,43.18,-6.995392799377441,-1.923426628112793
8637,43.185,-6.99514627456665,-1.9204368591308594
8638,43.19,-6.994897842407227,-1.9174470901489258
8639,43.195,-6.994647979736328,-1.9144573211669922
8640,43.2,-6.994396686553955,-1.9114677906036377
8641,43.205,-6.994143486022949,-1.9084783792495728
8642,43.21,-6.993888854980469,-1.905489206314087
8643,43.215,-6.993632793426514,-1.9024999141693115
8644,43.22,-6.993310451507568,-1.8987653255462646
8645,43.225,-6.992971420288086,-1.8950246572494507
8646,43.23,-6.992615222930908,-1.8912856578826904
8647,43.235,-6.992241859436035,-1.8875482082366943
8648,43.24,-6.991851806640625,-1.883812427520752
8649,43.245,-6.9914445877075195,-1.8800785541534424
8650,43.25,-6.991020202636719,-1.8763465881347656
8651,43.255,-6.990579128265381,-1.8726165294647217
8652,43.26,-6.990121364593506,-1.8688883781433105
8653,43.265,-6.989646911621094,-1.8651624917984009
8654,43.27,-6.9891557693481445,-1.8614387512207031
8655,43.275,-6.9886474609375,-1.8577172756195068
8656,43.28,-6.98812198638916,-1.8539981842041016
8657,43.285,-6.987579822540283,-1.8502812385559082
8658,43.29,-6.987020969390869,-1.846567153930664
8659,43.295,-6.986445426940918,-1.842855453491211
8660,43.3,-6.9858527183532715,-1.839146375656128
8661,43.305,-6.985243320465088,-1.8354401588439941
8662,43.31,-6.984617233276367,-1.8317365646362305
8663,43.315,-6.9838480949401855,-1.82731032371521
8664,43.32,-6.9830756187438965,-1.822877049446106
8665,43.325,-6.982300281524658,-1.8184442520141602
